Date,Year,MonthNumber,MonthName,Quarter,MonthSort,IsWorkday
03/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
04/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
05/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
06/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
07/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
08/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
09/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
10/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
11/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
12/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
13/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
14/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
15/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
16/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
17/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
18/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
19/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
20/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
21/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
22/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
23/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
24/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
25/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
26/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
27/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
28/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
29/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
30/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,1
31/01/2015 12:00:00 AM,2015,1,Jan,Q1,201501,0
01/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
02/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
03/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
04/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
05/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
06/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
07/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
08/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
09/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
10/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
11/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
12/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
13/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
14/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
15/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
16/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
17/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
18/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
19/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
20/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
21/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
22/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
23/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
24/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
25/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
26/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
27/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,1
28/02/2015 12:00:00 AM,2015,2,Feb,Q1,201502,0
01/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
02/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
03/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
04/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
05/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
06/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
07/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
08/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
09/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
10/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
11/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
12/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
13/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
14/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
15/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
16/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
17/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
18/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
19/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
20/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
21/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
22/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
23/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
24/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
25/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
26/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
27/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
28/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
29/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,0
30/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
31/03/2015 12:00:00 AM,2015,3,Mar,Q1,201503,1
01/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
02/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
03/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
04/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
05/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
06/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
07/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
08/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
09/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
10/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
11/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
12/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
13/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
14/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
15/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
16/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
17/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
18/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
19/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
20/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
21/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
22/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
23/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
24/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
25/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
26/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,0
27/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
28/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
29/04/2015 12:00:00 AM,2015,4,Apr,Q2,201504,1
